1,38,189,9,0,0,1,0.222222,6.22222,33.3185,29.0741,26.3333,35.2222,25.6667,-8.22222,18.4444,-10.2222,35.2222,0.271208,-2.04915,path
2,25,199,9,0,0,1.11111,0.607407,1.05556,0.462963,17.5185,13.1111,17.8889,21.5556,-13.2222,1.11111,12.1111,21.5556,0.393002,2.69011,grass
3,49,139,9,0,0,0.166667,0.077778,0.333333,0.088889,0.444444,0,1.33333,0,-1.33333,2.66667,-1.33333,1.33333,0.777778,-2.0944,foliage
4,63,220,9,0,0,3.05556,15.263,3.66667,6.08889,8.18519,6.55556,6.44444,11.5556,-4.88889,-5.22222,10.1111,11.5556,0.486717,2.09315,grass
5,161,135,9,0,0,0.055556,0.136083,0.111111,0.172133,1.25926,0.777778,3,0,-1.44444,5.22222,-3.77778,3,1,-1.82221,window
6,235,88,9,0,0,0.611111,0.240741,0.944445,0.32963,2.77778,0.444444,6.44444,1.44444,-7,11,-4,6.44444,0.938492,-2.26954,foliage
7,67,32,9,0,0,0.944444,1.06284,1.77778,1.31092,126.222,115.111,142.222,121.333,-33.3333,48,-14.6667,142.222,0.190625,-2.33375,sky
8,188,182,9,0,0,1.61111,0.742868,4.16667,2.12655,58,51.8889,72.4444,49.6667,-18.3333,43.3333,-25,72.4444,0.314281,-1.99159,path
9,217,245,9,0.111111,0.111111,3.16667,3.01662,2.16667,1.24276,9.74074,7.44444,7.11111,14.6667,-6.88889,-7.88889,14.7778,14.6667,0.572767,2.06945,grass
10,9,171,9,0,0,1.5,1.00554,2.77778,1.64204,45.9259,41,57.2222,39.5556,-14.7778,33.8889,-19.1111,57.2222,0.307943,-2.01072,path
11,149,117,9,0.222222,0,0.833333,0.255556,1,0.444445,21.2222,21.1111,26.3333,16.2222,-0.333333,15.3333,-15,26.3333,0.382629,-1.57448,brickface
12,136,139,9,0,0,0.666667,0.177778,0.777778,0.207407,5.33333,6.55556,6.44444,3,3.66667,3.33333,-7,6.88889,0.566799,-1.00494,brickface
13,214,79,9,0,0,1.27778,0.862963,1.33333,0.533333,4.85185,2,9.22222,3.33333,-8.55556,13.1111,-4.55556,9.22222,0.791667,-2.28898,foliage
14,118,125,9,0,0,0.333333,0.298142,0.888889,0.344265,1.14815,0,3.11111,0.333333,-3.44444,5.88889,-2.44444,3.11111,1,-2.17565,foliage
15,83,53,9,0,0,0.555555,0.455419,0.722223,0.490652,123.444,112.333,138.222,119.778,-33.3333,44.3333,-11,138.222,0.187217,-2.39327,sky
16,70,38,9,0,0,1.22222,0.272166,1,0.760116,58,50,74.3333,49.6667,-24,49,-25,74.3333,0.336015,-2.0785,cement
17,96,84,9,0,0,1.5,1.27778,1.61111,2.28519,23.8519,23.5556,30,18,-0.888889,18.4444,-17.5556,30,0.398791,-1.59887,brickface
18,151,129,9,0,0,8.05556,8.14157,0.722222,0.827758,32.037,27.5556,41.1111,27.4444,-13.4444,27.2222,-13.7778,41.1111,0.338407,-2.0788,cement
19,98,144,9,0,0,0.222222,0.02963,0.333333,0.088889,1,0,3,0,-3,6,-3,3,1,-2.0944,foliage
20,146,140,9,0,0,1.05556,0.462963,1,0.577778,6.33333,7.88889,7.33333,3.77778,4.66667,3,-7.66667,8.22222,0.537017,-0.909267,brickface
21,162,237,9,0.111111,0,2.27778,1.14342,2.66667,2.56472,13.2222,10.8889,10,18.7778,-7,-9.66667,16.6667,18.7778,0.472826,1.99038,grass
22,155,27,9,0,0,1.05556,0.240737,1.44445,0.25185,137.519,132.556,146.556,133.444,-14.8889,27.1111,-12.2222,146.556,0.098472,-2.14672,sky
23,83,198,9,0,0,2.38889,1.49691,4.83333,3.00925,59.7778,53.1111,74,52.2222,-20,42.6667,-22.6667,74,0.296314,-2.05057,path
24,94,104,9,0,0,6.61111,1.42075,1,0.516399,55.7407,48.8889,69.5556,48.7778,-20.5556,41.4444,-20.8889,69.5556,0.303071,-2.08549,cement
25,220,111,9,0,0,2.55556,1.65552,2.27778,1.59745,29.5926,25.4444,38.2222,25.1111,-12.4444,25.8889,-13.4444,38.2222,0.349325,-2.06472,cement
26,157,85,9,0,0,1.22222,1.24127,0.222222,0.172133,18.9259,14.5556,26.8889,15.3333,-13.1111,23.8889,-10.7778,26.8889,0.459024,-2.16091,window
